Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003
"0100001","Fort Rucker School District, Alabama","ACSSF","al","970","00","0009492",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00001",,,,,,,"97000US0100001","Fort Rucker School District",,,,5715,91.02352,89.94177,1.081745
"0100003","Maxwell AFB School District, Alabama","ACSSF","al","970","00","0009493",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00003",,,,,,,"97000US0100003","Maxwell AFB School District",,,,2128,3.501912,3.358116,0.1437953
"0100005","Albertville City School District, Alabama","ACSSF","al","970","00","0009494",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00005",,,,,,,"97000US0100005","Albertville City School District",,,,21620,27.03853,26.93864,0.09988772
"0100006","Marshall County School District, Alabama","ACSSF","al","970","00","0009495",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00006",,,,,,,"97000US0100006","Marshall County School District",,,,49073,528.5203,488.5356,39.98475
"0100007","Hoover City School District, Alabama","ACSSF","al","970","00","0009496",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00007",,,,,,,"97000US0100007","Hoover City School District",,,,84272,48.90984,47.94295,0.9668882
"0100008","Madison City School District, Alabama","ACSSF","al","970","00","0009497",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00008",,,,,,,"97000US0100008","Madison City School District",,,,50717,30.4928,30.36167,0.1311292
"0100011","Leeds City School District, Alabama","ACSSF","al","970","00","0009498",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00011",,,,,,,"97000US0100011","Leeds City School District",,,,12555,22.82091,22.589,0.2319115
"0100012","Boaz City School District, Alabama","ACSSF","al","970","00","0009499",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00012",,,,,,,"97000US0100012","Boaz City School District",,,,9587,14.61216,14.54966,0.06250222
"0100013","Trussville City School District, Alabama","ACSSF","al","970","00","0009500",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00013",,,,,,,"97000US0100013","Trussville City School District",,,,22543,34.54558,34.03879,0.5067915
"0100030","Alexander City City School District, Alabama","ACSSF","al","970","00","0009501",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00030",,,,,,,"97000US0100030","Alexander City City School District",,,,16883,112.1675,95.23958,16.92793
