Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003
"01001","State House District 1 (2018), Alabama","ACSSF","al","620","00","0009154",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"001",,,,,,,,,,,,,,"62000US01001","State House District 1 (2018)",,,,42674,207.7701,206.42,1.350106
"01002","State House District 2 (2018), Alabama","ACSSF","al","620","00","0009155",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"002",,,,,,,,,,,,,,"62000US01002","State House District 2 (2018)",,,,49893,385.8965,349.1924,36.70403
"01003","State House District 3 (2018), Alabama","ACSSF","al","620","00","0009156",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"003",,,,,,,,,,,,,,"62000US01003","State House District 3 (2018)",,,,46569,346.7785,312.0207,34.75786
"01004","State House District 4 (2018), Alabama","ACSSF","al","620","00","0009157",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"004",,,,,,,,,,,,,,"62000US01004","State House District 4 (2018)",,,,45153,335.4237,291.0681,44.35559
"01005","State House District 5 (2018), Alabama","ACSSF","al","620","00","0009158",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"005",,,,,,,,,,,,,,"62000US01005","State House District 5 (2018)",,,,52388,237.6809,235.5531,2.127867
"01006","State House District 6 (2018), Alabama","ACSSF","al","620","00","0009159",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"006",,,,,,,,,,,,,,"62000US01006","State House District 6 (2018)",,,,49595,138.8186,138.1451,0.6734703
"01007","State House District 7 (2018), Alabama","ACSSF","al","620","00","0009160",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"007",,,,,,,,,,,,,,"62000US01007","State House District 7 (2018)",,,,43586,773.7612,765.7084,8.052912
"01008","State House District 8 (2018), Alabama","ACSSF","al","620","00","0009161",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"008",,,,,,,,,,,,,,"62000US01008","State House District 8 (2018)",,,,45483,83.19561,82.25854,0.9370649
"01009","State House District 9 (2018), Alabama","ACSSF","al","620","00","0009162",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"009",,,,,,,,,,,,,,"62000US01009","State House District 9 (2018)",,,,46041,377.7186,374.1624,3.556244
"01010","State House District 10 (2018), Alabama","ACSSF","al","620","00","0009163",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"010",,,,,,,,,,,,,,"62000US01010","State House District 10 (2018)",,,,55270,138.3116,131.335,6.976675
"01011","State House District 11 (2018), Alabama","ACSSF","al","620","00","0009164",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"011",,,,,,,,,,,,,,"62000US01011","State House District 11 (2018)",,,,47270,512.4597,508.9724,3.487224
"01012","State House District 12 (2018), Alabama","ACSSF","al","620","00","0009165",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"012",,,,,,,,,,,,,,"62000US01012","State House District 12 (2018)",,,,48186,444.0732,426.8959,17.17723
"01013","State House District 13 (2018), Alabama","ACSSF","al","620","00","0009166",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"013",,,,,,,,,,,,,,"62000US01013","State House District 13 (2018)",,,,43546,309.6108,304.1674,5.443466
"01014","State House District 14 (2018), Alabama","ACSSF","al","620","00","0009167",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"014",,,,,,,,,,,,,,"62000US01014","State House District 14 (2018)",,,,43252,855.6022,829.1481,26.45409
"01015","State House District 15 (2018), Alabama","ACSSF","al","620","00","0009168",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"015",,,,,,,,,,,,,,"62000US01015","State House District 15 (2018)",,,,47466,178.3404,176.5602,1.780213
"01016","State House District 16 (2018), Alabama","ACSSF","al","620","00","0009169",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"016",,,,,,,,,,,,,,"62000US01016","State House District 16 (2018)",,,,44637,847.3763,829.1481,18.22824
"01017","State House District 17 (2018), Alabama","ACSSF","al","620","00","0009170",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"017",,,,,,,,,,,,,,"62000US01017","State House District 17 (2018)",,,,43663,831.947,829.1481,2.798845
"01018","State House District 18 (2018), Alabama","ACSSF","al","620","00","0009171",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"018",,,,,,,,,,,,,,"62000US01018","State House District 18 (2018)",,,,44749,886.1592,829.1481,57.01106
"01019","State House District 19 (2018), Alabama","ACSSF","al","620","00","0009172",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"019",,,,,,,,,,,,,,"62000US01019","State House District 19 (2018)",,,,51651,82.34462,82.1115,0.2331177
"01020","State House District 20 (2018), Alabama","ACSSF","al","620","00","0009173",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"020",,,,,,,,,,,,,,"62000US01020","State House District 20 (2018)",,,,45743,41.35635,41.30413,0.05221375
"01021","State House District 21 (2018), Alabama","ACSSF","al","620","00","0009174",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"021",,,,,,,,,,,,,,"62000US01021","State House District 21 (2018)",,,,48566,91.37874,90.91087,0.4678659
"01022","State House District 22 (2018), Alabama","ACSSF","al","620","00","0009175",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"022",,,,,,,,,,,,,,"62000US01022","State House District 22 (2018)",,,,52007,759.9004,754.8568,5.043617
"01023","State House District 23 (2018), Alabama","ACSSF","al","620","00","0009176",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"023",,,,,,,,,,,,,,"62000US01023","State House District 23 (2018)",,,,44284,715.8865,669.5229,46.36369
"01024","State House District 24 (2018), Alabama","ACSSF","al","620","00","0009177",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"024",,,,,,,,,,,,,,"62000US01024","State House District 24 (2018)",,,,46594,462.6109,461.4882,1.122738
"01025","State House District 25 (2018), Alabama","ACSSF","al","620","00","0009178",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"025",,,,,,,,,,,,,,"62000US01025","State House District 25 (2018)",,,,54371,45.16805,44.84382,0.3242297
"01026","State House District 26 (2018), Alabama","ACSSF","al","620","00","0009179",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"026",,,,,,,,,,,,,,"62000US01026","State House District 26 (2018)",,,,46676,162.9176,152.4775,10.44007
"01027","State House District 27 (2018), Alabama","ACSSF","al","620","00","0009180",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"027",,,,,,,,,,,,,,"62000US01027","State House District 27 (2018)",,,,46617,513.6467,467.3943,46.25229
"01028","State House District 28 (2018), Alabama","ACSSF","al","620","00","0009181",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"028",,,,,,,,,,,,,,"62000US01028","State House District 28 (2018)",,,,44568,135.8451,133.0993,2.7458
"01029","State House District 29 (2018), Alabama","ACSSF","al","620","00","0009182",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"029",,,,,,,,,,,,,,"62000US01029","State House District 29 (2018)",,,,44104,442.8045,438.8836,3.920942
"01030","State House District 30 (2018), Alabama","ACSSF","al","620","00","0009183",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"030",,,,,,,,,,,,,,"62000US01030","State House District 30 (2018)",,,,45175,467.3976,450.2169,17.18064
"01031","State House District 31 (2018), Alabama","ACSSF","al","620","00","0009184",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"031",,,,,,,,,,,,,,"62000US01031","State House District 31 (2018)",,,,45839,543.0716,510.7684,32.30323
"01032","State House District 32 (2018), Alabama","ACSSF","al","620","00","0009185",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"032",,,,,,,,,,,,,,"62000US01032","State House District 32 (2018)",,,,41931,266.7286,258.0572,8.671392
"01033","State House District 33 (2018), Alabama","ACSSF","al","620","00","0009186",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"033",,,,,,,,,,,,,,"62000US01033","State House District 33 (2018)",,,,43003,846.296,829.1481,17.14793
"01034","State House District 34 (2018), Alabama","ACSSF","al","620","00","0009187",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"034",,,,,,,,,,,,,,"62000US01034","State House District 34 (2018)",,,,45034,437.008,432.4103,4.597662
"01035","State House District 35 (2018), Alabama","ACSSF","al","620","00","0009188",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"035",,,,,,,,,,,,,,"62000US01035","State House District 35 (2018)",,,,44264,634.0024,629.7437,4.258707
"01036","State House District 36 (2018), Alabama","ACSSF","al","620","00","0009189",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"036",,,,,,,,,,,,,,"62000US01036","State House District 36 (2018)",,,,48194,228.3498,213.7088,14.64097
"01037","State House District 37 (2018), Alabama","ACSSF","al","620","00","0009190",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"037",,,,,,,,,,,,,,"62000US01037","State House District 37 (2018)",,,,44994,839.2026,829.1481,10.05447
"01038","State House District 38 (2018), Alabama","ACSSF","al","620","00","0009191",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,"038",,,,,,,,,,,,,,"62000US01038","State House District 38 (2018)",,,,51128,343.5171,338.5351,4.982046
