Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A00003_001,SE_A00003_002,SE_A00003_003
"00037","Abbeville, LA Urban Cluster (2010)","ACSSF","us","400","00","0007256",,,,,,,,,,,,,,,,,,,,,,,,,,"00037",,,,,,,,,,,,,,,,,,"40000US00037","Abbeville",,,,19602,,,
"00064","Abbeville, SC Urban Cluster (2010)","ACSSF","us","400","00","0007257",,,,,,,,,,,,,,,,,,,,,,,,,,"00064",,,,,,,,,,,,,,,,,,"40000US00064","Abbeville",,,,4747,,,
"00091","Abbotsford, WI Urban Cluster (2010)","ACSSF","us","400","00","0007258",,,,,,,,,,,,,,,,,,,,,,,,,,"00091",,,,,,,,,,,,,,,,,,"40000US00091","Abbotsford",,,,4388,,,
"00118","Aberdeen, MS Urban Cluster (2010)","ACSSF","us","400","00","0007259",,,,,,,,,,,,,,,,,,,,,,,,,,"00118",,,,,,,,,,,,,,,,,,"40000US00118","Aberdeen",,,,3743,,,
"00145","Aberdeen, SD Urban Cluster (2010)","ACSSF","us","400","00","0007260",,,,,,,,,,,,,,,,,,,,,,,,,,"00145",,,,,,,,,,,,,,,,,,"40000US00145","Aberdeen",,,,26965,,,
"00172","Aberdeen, WA Urban Cluster (2010)","ACSSF","us","400","00","0007261",,,,,,,,,,,,,,,,,,,,,,,,,,"00172",,,,,,,,,,,,,,,,,,"40000US00172","Aberdeen",,,,30270,,,
"00199","Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area (2010)","ACSSF","us","400","00","0007262",,,,,,,,,,,,,,,,,,,,,,,,,,"00199",,,,,,,,,,,,,,,,,,"40000US00199","Aberdeen--Bel Air South--Bel Air North",,,,218435,,,
"00226","Abernathy, TX Urban Cluster (2010)","ACSSF","us","400","00","0007263",,,,,,,,,,,,,,,,,,,,,,,,,,"00226",,,,,,,,,,,,,,,,,,"40000US00226","Abernathy",,,,3182,,,
"00253","Abilene, KS Urban Cluster (2010)","ACSSF","us","400","00","0007264",,,,,,,,,,,,,,,,,,,,,,,,,,"00253",,,,,,,,,,,,,,,,,,"40000US00253","Abilene",,,,6288,,,
"00280","Abilene, TX Urbanized Area (2010)","ACSSF","us","400","00","0007265",,,,,,,,,,,,,,,,,,,,,,,,,,"00280",,,,,,,,,,,,,,,,,,"40000US00280","Abilene",,,,114198,,,
"00334","Abingdon, IL Urban Cluster (2010)","ACSSF","us","400","00","0007266",,,,,,,,,,,,,,,,,,,,,,,,,,"00334",,,,,,,,,,,,,,,,,,"40000US00334","Abingdon",,,,3596,,,
"00388","Ada, OH Urban Cluster (2010)","ACSSF","us","400","00","0007267",,,,,,,,,,,,,,,,,,,,,,,,,,"00388",,,,,,,,,,,,,,,,,,"40000US00388","Ada",,,,5198,,,
"00415","Ada, OK Urban Cluster (2010)","ACSSF","us","400","00","0007268",,,,,,,,,,,,,,,,,,,,,,,,,,"00415",,,,,,,,,,,,,,,,,,"40000US00415","Ada",,,,18150,,,
"00450","Adams, NY Urban Cluster (2010)","ACSSF","us","400","00","0007269",,,,,,,,,,,,,,,,,,,,,,,,,,"00450",,,,,,,,,,,,,,,,,,"40000US00450","Adams",,,,2442,,,
"00469","Adel, GA Urban Cluster (2010)","ACSSF","us","400","00","0007270",,,,,,,,,,,,,,,,,,,,,,,,,,"00469",,,,,,,,,,,,,,,,,,"40000US00469","Adel",,,,7176,,,
"00496","Adel, IA Urban Cluster (2010)","ACSSF","us","400","00","0007271",,,,,,,,,,,,,,,,,,,,,,,,,,"00496",,,,,,,,,,,,,,,,,,"40000US00496","Adel",,,,3818,,,
"00550","Adjuntas, PR Urban Cluster (2010)","ACSSF","pr","400","00","0007010",,,,,,,,,,,,,,,,,,,,,,,,,,"00550",,,,,,,,,,,,,,,,,,"40000US00550","Adjuntas",,,,9988,,,
"00577","Adrian, MI Urban Cluster (2010)","ACSSF","us","400","00","0007272",,,,,,,,,,,,,,,,,,,,,,,,,,"00577",,,,,,,,,,,,,,,,,,"40000US00577","Adrian",,,,44634,,,
"00631","Aguadilla--Isabela--San Sebastián, PR Urbanized Area (2010)","ACSSF","pr","400","00","0007011",,,,,,,,,,,,,,,,,,,,,,,,,,"00631",,,,,,,,,,,,,,,,,,"40000US00631","Aguadilla--Isabela--San Sebastián",,,,267316,,,
"00658","Ahoskie, NC Urban Cluster (2010)","ACSSF","us","400","00","0007273",,,,,,,,,,,,,,,,,,,,,,,,,,"00658",,,,,,,,,,,,,,,,,,"40000US00658","Ahoskie",,,,4775,,,
"00676","Air Force Academy, CO Urban Cluster (2010)","ACSSF","us","400","00","0007274",,,,,,,,,,,,,,,,,,,,,,,,,,"00676",,,,,,,,,,,,,,,,,,"40000US00676","Air Force Academy",,,,2837,,,
"00712","Ajo, AZ Urban Cluster (2010)","ACSSF","us","400","00","0007275",,,,,,,,,,,,,,,,,,,,,,,,,,"00712",,,,,,,,,,,,,,,,,,"40000US00712","Ajo",,,,2349,,,
"00739","Akron, NY Urban Cluster (2010)","ACSSF","us","400","00","0007276",,,,,,,,,,,,,,,,,,,,,,,,,,"00739",,,,,,,,,,,,,,,,,,"40000US00739","Akron",,,,2880,,,
"00766","Akron, OH Urbanized Area (2010)","ACSSF","us","400","00","0007277",,,,,,,,,,,,,,,,,,,,,,,,,,"00766",,,,,,,,,,,,,,,,,,"40000US00766","Akron",,,,566653,,,
"00793","Alachua, FL Urban Cluster (2010)","ACSSF","us","400","00","0007278",,,,,,,,,,,,,,,,,,,,,,,,,,"00793",,,,,,,,,,,,,,,,,,"40000US00793","Alachua",,,,4852,,,
"00820","Alamogordo, NM Urban Cluster (2010)","ACSSF","us","400","00","0007279",,,,,,,,,,,,,,,,,,,,,,,,,,"00820",,,,,,,,,,,,,,,,,,"40000US00820","Alamogordo",,,,33257,,,
"00847","Alamosa, CO Urban Cluster (2010)","ACSSF","us","400","00","0007280",,,,,,,,,,,,,,,,,,,,,,,,,,"00847",,,,,,,,,,,,,,,,,,"40000US00847","Alamosa",,,,9957,,,
"00901","Albany, GA Urbanized Area (2010)","ACSSF","us","400","00","0007281",,,,,,,,,,,,,,,,,,,,,,,,,,"00901",,,,,,,,,,,,,,,,,,"40000US00901","Albany",,,,90855,,,
"00921","Albany, MN Urban Cluster (2010)","ACSSF","us","400","00","0007282",,,,,,,,,,,,,,,,,,,,,,,,,,"00921",,,,,,,,,,,,,,,,,,"40000US00921","Albany",,,,2727,,,
"00955","Albany, OR Urbanized Area (2010)","ACSSF","us","400","00","0007283",,,,,,,,,,,,,,,,,,,,,,,,,,"00955",,,,,,,,,,,,,,,,,,"40000US00955","Albany",,,,62134,,,
"00970","Albany--Schenectady, NY Urbanized Area (2010)","ACSSF","us","400","00","0007284",,,,,,,,,,,,,,,,,,,,,,,,,,"00970",,,,,,,,,,,,,,,,,,"40000US00970","Albany--Schenectady",,,,596121,,,
"00982","Albemarle, NC Urban Cluster (2010)","ACSSF","us","400","00","0007285",,,,,,,,,,,,,,,,,,,,,,,,,,"00982",,,,,,,,,,,,,,,,,,"40000US00982","Albemarle",,,,16859,,,
"01009","Albert Lea, MN Urban Cluster (2010)","ACSSF","us","400","00","0007286",,,,,,,,,,,,,,,,,,,,,,,,,,"01009",,,,,,,,,,,,,,,,,,"40000US01009","Albert Lea",,,,17312,,,
"01036","Albertville, AL Urban Cluster (2010)","ACSSF","us","400","00","0007287",,,,,,,,,,,,,,,,,,,,,,,,,,"01036",,,,,,,,,,,,,,,,,,"40000US01036","Albertville",,,,37197,,,
"01063","Albia, IA Urban Cluster (2010)","ACSSF","us","400","00","0007288",,,,,,,,,,,,,,,,,,,,,,,,,,"01063",,,,,,,,,,,,,,,,,,"40000US01063","Albia",,,,3621,,,
"01090","Albion, MI Urban Cluster (2010)","ACSSF","us","400","00","0007289",,,,,,,,,,,,,,,,,,,,,,,,,,"01090",,,,,,,,,,,,,,,,,,"40000US01090","Albion",,,,8913,,,
"01117","Albion, NY Urban Cluster (2010)","ACSSF","us","400","00","0007290",,,,,,,,,,,,,,,,,,,,,,,,,,"01117",,,,,,,,,,,,,,,,,,"40000US01117","Albion",,,,8057,,,
