geo,interval,min,max,bins
nation,1000,326569308,326569308,"[['_326569.0', 1]]"
regions,1000,56016911,124605822,"[['_56016.0', 1], ['_68219.0', 1], ['_77726.0', 1], ['_124605.0', 1]]"
ZIP_Code_Tabulation_Areas,3000,1,126310,"[['_0.0', 16946], ['_1.0', 3869], ['_2.0', 2035], ['_3.0', 1396], ['_4.0', 1131], ['_5.0', 1053], ['_6.0', 863], ['_7.0', 787], ['_8.0', 732], ['_9.0', 722], ['_10.0', 588], ['_11.0', 480], ['_12.0', 488], ['_13.0', 399], ['_14.0', 285], ['_15.0', 256], ['_16.0', 186], ['_17.0', 171], ['_18.0', 147], ['_19.0', 127], ['_20.0', 100], ['_21.0', 68], ['_22.0', 48], ['_23.0', 53], ['_24.0', 44], ['_25.0', 30], ['_26.0', 26], ['_27.0', 17], ['_28.0', 14], ['_29.0', 11], ['_30.0', 12], ['_31.0', 10], ['_32.0', 5], ['_33.0', 6], ['_34.0', 5], ['_35.0', 2], ['_36.0', 5], ['_38.0', 1], ['_41.0', 1], ['_42.0', 1]]"
divisions,1000,14821759,65235308,"[['_14821.0', 1], ['_19109.0', 1], ['_21350.0', 1], ['_24534.0', 1], ['_40261.0', 1], ['_41195.0', 1], ['_46869.0', 1], ['_53191.0', 1], ['_65235.0', 1]]"
urban_areas,50000,1229,18714184,"[['_0.0', 3093], ['_1.0', 189], ['_2.0', 86], ['_3.0', 36], ['_4.0', 31], ['_5.0', 27], ['_6.0', 18], ['_7.0', 11], ['_8.0', 14], ['_9.0', 4], ['_10.0', 3], ['_11.0', 6], ['_12.0', 9], ['_13.0', 3], ['_14.0', 4], ['_15.0', 4], ['_16.0', 2], ['_17.0', 1], ['_18.0', 4], ['_19.0', 1], ['_20.0', 2], ['_21.0', 3], ['_22.0', 1], ['_23.0', 1], ['_24.0', 1], ['_27.0', 1], ['_29.0', 2], ['_30.0', 1], ['_32.0', 2], ['_33.0', 2], ['_34.0', 2], ['_35.0', 2], ['_37.0', 2], ['_40.0', 1], ['_41.0', 2], ['_42.0', 1], ['_43.0', 1], ['_45.0', 1], ['_53.0', 1], ['_54.0', 1], ['_57.0', 1], ['_63.0', 1], ['_70.0', 2], ['_74.0', 1], ['_82.0', 1], ['_89.0', 1], ['_100.0', 1], ['_101.0', 1], ['_110.0', 1], ['_113.0', 1], ['_116.0', 1], ['_120.0', 1], ['_172.0', 1], ['_250.0', 1], ['_374.0', 1]]"
school_districts,20000,2,10861395,"[['_0.0', 7936], ['_1.0', 1477], ['_2.0', 533], ['_3.0', 249], ['_4.0', 163], ['_5.0', 110], ['_6.0', 77], ['_7.0', 48], ['_8.0', 37], ['_9.0', 39], ['_10.0', 29], ['_11.0', 25], ['_12.0', 20], ['_13.0', 16], ['_14.0', 12], ['_15.0', 11], ['_16.0', 10], ['_17.0', 11], ['_18.0', 10], ['_19.0', 7], ['_20.0', 2], ['_21.0', 5], ['_22.0', 2], ['_23.0', 4], ['_24.0', 2], ['_25.0', 3], ['_26.0', 4], ['_27.0', 1], ['_28.0', 2], ['_29.0', 5], ['_30.0', 1], ['_32.0', 1], ['_33.0', 1], ['_34.0', 5], ['_35.0', 3], ['_37.0', 4], ['_38.0', 1], ['_41.0', 1], ['_43.0', 1], ['_45.0', 3], ['_47.0', 1], ['_48.0', 1], ['_52.0', 1], ['_54.0', 3], ['_56.0', 1], ['_57.0', 1], ['_68.0', 1], ['_71.0', 1], ['_72.0', 1], ['_74.0', 2], ['_79.0', 1], ['_81.0', 1], ['_97.0', 1], ['_111.0', 1], ['_122.0', 1], ['_134.0', 1], ['_135.0', 1], ['_162.0', 1], ['_236.0', 1], ['_237.0', 1], ['_418.0', 1], ['_543.0', 1]]"
states,1000,581348,39346023,"[['_581.0', 1], ['_624.0', 1], ['_701.0', 1], ['_736.0', 1], ['_760.0', 1], ['_879.0', 1], ['_967.0', 1], ['_1057.0', 1], ['_1061.0', 1], ['_1340.0', 1], ['_1355.0', 1], ['_1420.0', 1], ['_1754.0', 1], ['_1807.0', 1], ['_1923.0', 1], ['_2097.0', 1], ['_2912.0', 1], ['_2981.0', 1], ['_3011.0', 1], ['_3030.0', 1], ['_3150.0', 1], ['_3151.0', 1], ['_3255.0', 1], ['_3570.0', 1], ['_3949.0', 1], ['_4176.0', 1], ['_4461.0', 1], ['_4664.0', 1], ['_4893.0', 1], ['_5091.0', 1], ['_5600.0', 1], ['_5684.0', 1], ['_5806.0', 1], ['_6037.0', 1], ['_6124.0', 1], ['_6696.0', 1], ['_6772.0', 1], ['_6873.0', 1], ['_7174.0', 1], ['_7512.0', 1], ['_8509.0', 1], ['_8885.0', 1], ['_9973.0', 1], ['_10386.0', 1], ['_10516.0', 1], ['_11675.0', 1], ['_12716.0', 1], ['_12794.0', 1], ['_19514.0', 1], ['_21216.0', 1], ['_28635.0', 1], ['_39346.0', 1]]"
state_legislative_districts,10000,2826,549079,"[['_0.0', 453], ['_1.0', 321], ['_2.0', 653], ['_3.0', 542], ['_4.0', 690], ['_5.0', 310], ['_6.0', 455], ['_7.0', 161], ['_8.0', 242], ['_9.0', 117], ['_10.0', 125], ['_11.0', 93], ['_12.0', 108], ['_13.0', 81], ['_14.0', 32], ['_15.0', 34], ['_16.0', 53], ['_17.0', 75], ['_18.0', 54], ['_19.0', 40], ['_20.0', 25], ['_21.0', 29], ['_22.0', 27], ['_23.0', 13], ['_24.0', 9], ['_25.0', 4], ['_26.0', 5], ['_27.0', 2], ['_46.0', 10], ['_47.0', 14], ['_48.0', 17], ['_49.0', 14], ['_50.0', 10], ['_51.0', 7], ['_52.0', 6], ['_53.0', 1], ['_54.0', 1]]"
counties,50000,117,10040682,"[['_0.0', 2217], ['_1.0', 401], ['_2.0', 156], ['_3.0', 110], ['_4.0', 61], ['_5.0', 44], ['_6.0', 29], ['_7.0', 27], ['_8.0', 21], ['_9.0', 15], ['_10.0', 18], ['_11.0', 12], ['_12.0', 7], ['_13.0', 8], ['_14.0', 7], ['_15.0', 10], ['_16.0', 10], ['_17.0', 8], ['_18.0', 9], ['_19.0', 6], ['_20.0', 3], ['_21.0', 3], ['_22.0', 3], ['_24.0', 2], ['_25.0', 3], ['_26.0', 1], ['_27.0', 2], ['_28.0', 1], ['_29.0', 3], ['_30.0', 1], ['_31.0', 1], ['_32.0', 2], ['_33.0', 1], ['_35.0', 1], ['_38.0', 2], ['_39.0', 1], ['_41.0', 1], ['_43.0', 1], ['_44.0', 2], ['_45.0', 1], ['_48.0', 1], ['_51.0', 1], ['_52.0', 1], ['_54.0', 1], ['_63.0', 1], ['_66.0', 1], ['_88.0', 1], ['_93.0', 1], ['_103.0', 1], ['_200.0', 1]]"
places,20000,1,8379552,"[['_0.0', 29652], ['_1.0', 1174], ['_2.0', 402], ['_3.0', 217], ['_4.0', 137], ['_5.0', 80], ['_6.0', 47], ['_7.0', 35], ['_8.0', 17], ['_9.0', 30], ['_10.0', 16], ['_11.0', 7], ['_12.0', 13], ['_13.0', 8], ['_14.0', 6], ['_15.0', 7], ['_16.0', 4], ['_17.0', 2], ['_18.0', 2], ['_19.0', 5], ['_20.0', 1], ['_21.0', 2], ['_22.0', 1], ['_23.0', 5], ['_24.0', 2], ['_25.0', 2], ['_26.0', 1], ['_27.0', 1], ['_28.0', 1], ['_29.0', 1], ['_30.0', 2], ['_32.0', 4], ['_33.0', 3], ['_34.0', 1], ['_35.0', 2], ['_37.0', 1], ['_43.0', 3], ['_44.0', 2], ['_45.0', 1], ['_48.0', 1], ['_51.0', 1], ['_66.0', 1], ['_70.0', 1], ['_76.0', 1], ['_79.0', 1], ['_82.0', 1], ['_115.0', 1], ['_134.0', 1], ['_198.0', 1], ['_418.0', 1]]"
