fips,name,population,area
00600601,ZCTA 00601,16773,64.6563
00600602,ZCTA 00602,37083,32.33064
00600603,ZCTA 00603,45652,31.68687
00600606,ZCTA 00606,6231,42.31388
00600610,ZCTA 00610,26502,37.52353
00600612,ZCTA 00612,58771,71.37299
00600616,ZCTA 00616,9688,11.58762
00600617,ZCTA 00617,23771,16.73205
00600622,ZCTA 00622,6505,29.6471
00600623,ZCTA 00623,41472,38.60452
00600624,ZCTA 00624,21031,44.13919
00600627,ZCTA 00627,31066,47.70882
00600631,ZCTA 00631,1481,4.279804
00600637,ZCTA 00637,21957,34.45883
00600638,ZCTA 00638,16018,66.23534
00600641,ZCTA 00641,26383,94.86673
00600646,ZCTA 00646,36538,21.982
00600647,ZCTA 00647,5708,18.29866
00600650,ZCTA 00650,13869,30.73758
00600652,ZCTA 00652,3624,6.923154
00600653,ZCTA 00653,10117,17.25151
00600656,ZCTA 00656,17984,34.09657
00600659,ZCTA 00659,39561,42.95409
00600660,ZCTA 00660,15731,11.34576
00600662,ZCTA 00662,39017,46.42842
00600664,ZCTA 00664,14405,45.52174
00600667,ZCTA 00667,22721,71.22041
00600669,ZCTA 00669,24022,61.61711
00600670,ZCTA 00670,8051,45.708
00600674,ZCTA 00674,38218,47.60857
00600676,ZCTA 00676,35621,50.45846
00600677,ZCTA 00677,13949,15.72674
00600678,ZCTA 00678,24997,27.82669
00600680,ZCTA 00680,44904,71.8645
00600682,ZCTA 00682,30212,16.84406
00600683,ZCTA 00683,28710,52.19988
00600685,ZCTA 00685,36546,78.32719
00600687,ZCTA 00687,30652,38.92517
00600688,ZCTA 00688,11355,31.84605
00600690,ZCTA 00690,5900,2.819981
00600692,ZCTA 00692,34857,27.53205
00600693,ZCTA 00693,52220,40.73088
00600694,ZCTA 00694,32,1.55505
00600698,ZCTA 00698,34449,72.61597
00700703,ZCTA 00703,25619,29.68498
00700704,ZCTA 00704,7641,5.560153
00700705,ZCTA 00705,22289,31.97722
00700707,ZCTA 00707,10514,22.53995
00700714,ZCTA 00714,17413,14.63568
00700715,ZCTA 00715,2846,7.927457
00700716,ZCTA 00716,26433,11.61862
00700717,ZCTA 00717,15115,2.131769
00700718,ZCTA 00718,25543,46.57514
00700719,ZCTA 00719,28048,28.35001
00700720,ZCTA 00720,20387,59.71809
00700723,ZCTA 00723,16645,46.66958
00700725,ZCTA 00725,79395,42.67709
00700727,ZCTA 00727,51772,21.50736
00700728,ZCTA 00728,39204,23.99375
00700729,ZCTA 00729,50721,34.1019
00700730,ZCTA 00730,29075,6.556803
00700731,ZCTA 00731,12108,48.80811
00700735,ZCTA 00735,11593,24.01992
00700736,ZCTA 00736,45773,55.12794
00700738,ZCTA 00738,28329,59.82897
00700739,ZCTA 00739,35801,32.01046
00700740,ZCTA 00740,1934,0.4418144
00700741,ZCTA 00741,3911,3.441667
00700745,ZCTA 00745,49472,53.99049
00700751,ZCTA 00751,20662,58.30367
00700754,ZCTA 00754,36309,51.12228
00700757,ZCTA 00757,21474,31.99117
00700765,ZCTA 00765,8402,19.71398
00700766,ZCTA 00766,22187,41.48309
00700767,ZCTA 00767,32867,58.0336
00700769,ZCTA 00769,38500,76.52832
00700771,ZCTA 00771,36388,33.8317
00700772,ZCTA 00772,18919,19.92593
00700773,ZCTA 00773,17924,25.30489
00700775,ZCTA 00775,1326,23.46566
00700777,ZCTA 00777,39580,26.70748
00700778,ZCTA 00778,46720,30.0745
00700780,ZCTA 00780,10887,20.42104
00700782,ZCTA 00782,17310,26.76788
00700783,ZCTA 00783,32372,41.84732
00700784,ZCTA 00784,38894,61.83576
00700786,ZCTA 00786,292,0.257241
00700791,ZCTA 00791,47675,38.06595
00700794,ZCTA 00794,28088,35.32742
00700795,ZCTA 00795,43475,46.62854
00900901,ZCTA 00901,7438,0.9907919
00900906,ZCTA 00906,178,0.003184185
00900907,ZCTA 00907,15641,1.33825
00900909,ZCTA 00909,4855,0.6293241
00900911,ZCTA 00911,7157,0.4758733
00900912,ZCTA 00912,5868,0.3331985
00900913,ZCTA 00913,7225,0.3223312
00900915,ZCTA 00915,24079,1.710501
00900917,ZCTA 00917,17836,1.315505
00900918,ZCTA 00918,14902,2.169173
00900920,ZCTA 00920,16157,2.884208
00900921,ZCTA 00921,30663,2.673106
00900923,ZCTA 00923,23811,2.043581
00900924,ZCTA 00924,46690,4.693562
00900925,ZCTA 00925,6365,0.447138
00900926,ZCTA 00926,89327,24.56644
00900927,ZCTA 00927,13490,2.629981
00900934,ZCTA 00934,114,0.7589657
00900936,ZCTA 00936,802,0.1613729
