fips,name,population,area
01001,"Autauga County, Alabama",55639,604.3692
01003,"Baldwin County, Alabama",218289,2027.273
01005,"Barbour County, Alabama",25026,904.5152
01007,"Bibb County, Alabama",22374,626.1655
01009,"Blount County, Alabama",57755,650.6282
01011,"Bullock County, Alabama",10173,625.1435
01013,"Butler County, Alabama",19726,777.8815
01015,"Calhoun County, Alabama",114324,612.274
01017,"Chambers County, Alabama",33427,603.1137
01019,"Cherokee County, Alabama",26035,599.9764
01021,"Chilton County, Alabama",44147,700.7874
01023,"Choctaw County, Alabama",12755,920.8593
01025,"Clarke County, Alabama",23866,1252.574
01027,"Clay County, Alabama",13285,606.0017
01029,"Cleburne County, Alabama",14952,561.0137
01031,"Coffee County, Alabama",52238,680.4947
01033,"Colbert County, Alabama",54957,623.5174
01035,"Conecuh County, Alabama",12219,852.7607
01037,"Coosa County, Alabama",10696,666.3499
01039,"Covington County, Alabama",37096,1043.773
01041,"Crenshaw County, Alabama",13826,610.9454
01043,"Cullman County, Alabama",83345,755.0212
01045,"Dale County, Alabama",49293,562.6773
01047,"Dallas County, Alabama",38184,993.8442
01049,"DeKalb County, Alabama",71430,778.6628
01051,"Elmore County, Alabama",81526,657.0404
01053,"Escambia County, Alabama",36775,953.1396
01055,"Etowah County, Alabama",102721,548.6279
01057,"Fayette County, Alabama",16406,629.3559
01059,"Franklin County, Alabama",31587,646.5225
01061,"Geneva County, Alabama",26383,578.9509
01063,"Greene County, Alabama",8221,659.9251
01065,"Hale County, Alabama",14754,656.5013
01067,"Henry County, Alabama",17123,568.309
01069,"Houston County, Alabama",105319,581.6774
01071,"Jackson County, Alabama",51765,1126.793
01073,"Jefferson County, Alabama",658615,1124.15
01075,"Lamar County, Alabama",13854,605.4643
01077,"Lauderdale County, Alabama",92870,719.5999
01079,"Lawrence County, Alabama",32969,717.2028
01081,"Lee County, Alabama",163461,615.8498
01083,"Limestone County, Alabama",96921,607.1872
01085,"Lowndes County, Alabama",9936,725.0702
01087,"Macon County, Alabama",18437,613.2079
01089,"Madison County, Alabama",367686,812.7152
01091,"Marengo County, Alabama",19138,982.6712
01093,"Marion County, Alabama",29818,743.5713
01095,"Marshall County, Alabama",96137,623.1794
01097,"Mobile County, Alabama",413977,1644.052
01099,"Monroe County, Alabama",21006,1034.398
01101,"Montgomery County, Alabama",226451,799.912
01103,"Morgan County, Alabama",119352,599.0507
01105,"Perry County, Alabama",9104,723.8792
01107,"Pickens County, Alabama",20049,890.1416
01109,"Pike County, Alabama",33274,672.9701
01111,"Randolph County, Alabama",22732,584.1345
01113,"Russell County, Alabama",57938,647.191
01115,"St. Clair County, Alabama",88929,653.3588
01117,"Shelby County, Alabama",216350,809.4894
01119,"Sumter County, Alabama",12595,913.3377
01121,"Talladega County, Alabama",80244,760.3205
01123,"Tallapoosa County, Alabama",40450,766.2542
01125,"Tuscaloosa County, Alabama",208854,1351.235
01127,"Walker County, Alabama",63802,805.1932
01129,"Washington County, Alabama",16336,1088.566
01131,"Wilcox County, Alabama",10552,907.3914
01133,"Winston County, Alabama",23712,631.8683
02013,"Aleutians East Borough, Alaska",3389,15016.1
02016,"Aleutians West Census Area, Alaska",5708,14116.48
02020,"Anchorage Municipality, Alaska",292090,1946.686
02050,"Bethel Census Area, Alaska",18263,45555.61
02060,"Bristol Bay Borough, Alaska",739,848.6879
02063,"Chugach Census Area, Alaska",6495,15143.35
02066,"Copper River Census Area, Alaska",2894,25162.19
02068,"Denali Borough, Alaska",2502,12666.57
02070,"Dillingham Census Area, Alaska",4934,20628.94
02090,"Fairbanks North Star Borough, Alaska",98455,7434.942
02100,"Haines Borough, Alaska",2547,2745.408
02105,"Hoonah-Angoon Census Area, Alaska",2135,9568.741
02110,"Juneau City and Borough, Alaska",32099,3254.701
02122,"Kenai Peninsula Borough, Alaska",58809,24720.62
02130,"Ketchikan Gateway Borough, Alaska",13833,6652.924
02150,"Kodiak Island Borough, Alaska",13383,12151.77
02158,"Kusilvak Census Area, Alaska",8298,19658.62
02164,"Lake and Peninsula Borough, Alaska",1156,33866.51
02170,"Matanuska-Susitna Borough, Alaska",107360,25265.52
02180,"Nome Census Area, Alaska",10009,28290.24
02185,"North Slope Borough, Alaska",9375,94827.93
02188,"Northwest Arctic Borough, Alaska",7709,40619.78
02195,"Petersburg Borough, Alaska",3278,3821.837
02198,"Prince of Wales-Hyder Census Area, Alaska",6338,10909.51
02220,"Sitka City and Borough, Alaska",8569,4815.143
02230,"Skagway Municipality, Alaska",1300,445.0465
02240,"Southeast Fairbanks Census Area, Alaska",6911,25120.57
02275,"Wrangell City and Borough, Alaska",2510,3476.608
02282,"Yakutat City and Borough, Alaska",597,9162.331
02290,"Yukon-Koyukuk Census Area, Alaska",5305,147870.8
04001,"Apache County, Arizona",71714,11219.22
04003,"Cochise County, Arizona",126442,6216.57
04005,"Coconino County, Arizona",142254,18661.38
04007,"Gila County, Arizona",53846,4794.824
04009,"Graham County, Arizona",38304,4640.208
04011,"Greenlee County, Arizona",9465,1847.451
04012,"La Paz County, Arizona",21035,4510.678
04013,"Maricopa County, Arizona",4412779,9226.002
04015,"Mohave County, Arizona",210998,13460.84
04017,"Navajo County, Arizona",110271,9958.806
04019,"Pima County, Arizona",1038476,9190.664
04021,"Pinal County, Arizona",447559,5374.674
04023,"Santa Cruz County, Arizona",46594,1237.427
04025,"Yavapai County, Arizona",232396,8127.317
04027,"Yuma County, Arizona",211931,5518.955
05001,"Arkansas County, Arkansas",17761,1038.742
05003,"Ashley County, Arkansas",20000,940.4168
05005,"Baxter County, Arkansas",41673,586.7084
05007,"Benton County, Arkansas",273510,884.3284
05009,"Boone County, Arkansas",37525,602.0002
05011,"Bradley County, Arkansas",10805,652.8373
05013,"Calhoun County, Arkansas",5160,632.4173
05015,"Carroll County, Arkansas",28062,638.7045
05017,"Chicot County, Arkansas",10433,691.1916
05019,"Clark County, Arkansas",22341,882.9465
05021,"Clay County, Arkansas",14710,641.3464
05023,"Cleburne County, Arkansas",25063,592.139
05025,"Cleveland County, Arkansas",8063,598.9029
05027,"Columbia County, Arkansas",23620,766.8316
05029,"Conway County, Arkansas",20895,566.4953
05031,"Craighead County, Arkansas",109081,712.6912
05033,"Crawford County, Arkansas",63118,605.8941
05035,"Crittenden County, Arkansas",48381,644.4052
05037,"Cross County, Arkansas",16576,622.2595
05039,"Dallas County, Arkansas",7114,667.9914
05041,"Desha County, Arkansas",11538,812.7128
05043,"Drew County, Arkansas",18263,835.917
05045,"Faulkner County, Arkansas",124800,664.0875
