fips,name,population,area
0100190171,"Autaugaville CCD, Autauga County, Alabama",3497,189.9814
0100190315,"Billingsley CCD, Autauga County, Alabama",2904,149.9778
0100192106,"Marbury CCD, Autauga County, Alabama",6247,113.2333
0100192628,"Prattville CCD, Autauga County, Alabama",42991,151.1766
0100390207,"Bay Minette CCD, Baldwin County, Alabama",26769,527.3493
0100390846,"Daphne CCD, Baldwin County, Alabama",54017,169.7892
0100390963,"Elberta CCD, Baldwin County, Alabama",11606,140.3251
0100391053,"Fairhope CCD, Baldwin County, Alabama",32462,141.4176
0100391152,"Foley CCD, Baldwin County, Alabama",58506,435.7402
0100392754,"Robertsdale CCD, Baldwin County, Alabama",26742,172.3776
0100393024,"Stockton CCD, Baldwin County, Alabama",3266,389.6076
0100393042,"Summerdale CCD, Baldwin County, Alabama",4921,50.66604
0100590189,"Bakerhill CCD, Barbour County, Alabama",3118,132.7025
0100590630,"Clayton CCD, Barbour County, Alabama",4197,199.9969
0100590648,"Clio CCD, Barbour County, Alabama",3850,132.7101
0100591017,"Eufaula CCD, Barbour County, Alabama",12277,302.6971
0100591989,"Louisville CCD, Barbour County, Alabama",1584,136.4086
0100790531,"Centreville-Brent CCD, Bibb County, Alabama",13944,389.7275
0100792601,"Piper-Coleanor CCD, Bibb County, Alabama",884,75.69808
0100793438,"West Blocton CCD, Bibb County, Alabama",7546,160.7399
0100990333,"Blountsville CCD, Blount County, Alabama",7348,96.80115
0100990414,"Brooksville CCD, Blount County, Alabama",3893,95.13593
0100990612,"Clarence CCD, Blount County, Alabama",5305,73.51108
0100990639,"Cleveland CCD, Blount County, Alabama",4372,45.20631
0100991557,"Hayden CCD, Blount County, Alabama",13653,103.2036
0100991953,"Locust Fork CCD, Blount County, Alabama",8606,79.03433
0100992439,"Oneonta CCD, Blount County, Alabama",14578,157.7358
0101191098,"Fitzpatrick CCD, Bullock County, Alabama",867,135.2432
0101191701,"Inverness CCD, Bullock County, Alabama",1674,169.7042
0101192133,"Midway CCD, Bullock County, Alabama",1382,165.5215
0101193249,"Union Springs CCD, Bullock County, Alabama",6250,154.6746
0101390540,"Chapman CCD, Butler County, Alabama",1934,136.0775
0101391170,"Forest Home CCD, Butler County, Alabama",1421,170.562
0101391314,"Georgiana-McKenzie CCD, Butler County, Alabama",4129,198.0827
0101391422,"Greenville CCD, Butler County, Alabama",12242,273.1592
0101590066,"Alexandria-Webster Chapel CCD, Calhoun County, Alabama",12313,101.6288
0101590099,"Anniston CCD, Calhoun County, Alabama",65239,205.9902
0101590585,"Choccolocco CCD, Calhoun County, Alabama",6986,93.31288
0101591746,"Jacksonville CCD, Calhoun County, Alabama",18258,71.32167
0101592430,"Ohatchee CCD, Calhoun County, Alabama",4788,71.51397
0101592556,"Piedmont CCD, Calhoun County, Alabama",6740,68.5065
0101791107,"Five Points CCD, Chambers County, Alabama",2871,122.6302
0101791818,"La Fayette CCD, Chambers County, Alabama",5087,181.8495
0101791827,"Lanett CCD, Chambers County, Alabama",10315,65.92242
0101792169,"Milltown CCD, Chambers County, Alabama",986,80.92642
0101793272,"Valley CCD, Chambers County, Alabama",13091,71.56828
0101793393,"Waverly CCD, Chambers County, Alabama",1077,80.21698
0101990513,"Cedar Bluff-Gaylesville CCD, Cherokee County, Alabama",7166,191.8673
0101990522,"Centre CCD, Cherokee County, Alabama",8312,149.5134
0101991854,"Leesburg CCD, Cherokee County, Alabama",5522,103.0808
0101992983,"Spring Garden CCD, Cherokee County, Alabama",5035,155.5149
0102190603,"Clanton CCD, Chilton County, Alabama",14001,85.97701
0102191710,"Isabella-Pletcher CCD, Chilton County, Alabama",3745,100.8258
0102191764,"Jemison CCD, Chilton County, Alabama",14849,130.0289
0102192097,"Maplesville CCD, Chilton County, Alabama",3510,174.7072
0102192178,"Mineral Springs CCD, Chilton County, Alabama",3592,108.5991
0102193285,"Verbena CCD, Chilton County, Alabama",4450,100.6495
0102390441,"Butler CCD, Choctaw County, Alabama",4207,293.4428
0102391332,"Gilbertown-Toxey CCD, Choctaw County, Alabama",3136,224.0983
0102391908,"Lisman CCD, Choctaw County, Alabama",3335,224.5021
0102392925,"Silas CCD, Choctaw County, Alabama",2077,178.816
0102590675,"Coffeeville CCD, Clarke County, Alabama",1586,145.8601
0102591260,"Fulton CCD, Clarke County, Alabama",1571,96.17088
0102591440,"Grove Hill CCD, Clarke County, Alabama",4823,323.4049
0102591726,"Jackson CCD, Clarke County, Alabama",6840,188.9962
0102593132,"Thomasville CCD, Clarke County, Alabama",5767,263.799
0102593362,"Walker Springs CCD, Clarke County, Alabama",3279,234.343
