fips,name,population,area
0100100,"Abanda CDP, Alabama",192,3.010947
0100124,"Abbeville city, Alabama",2572,15.58424
0100460,"Adamsville city, Alabama",4266,26.42334
0100484,"Addison town, Alabama",723,3.797975
0100676,"Akron town, Alabama",269,0.6911283
0100820,"Alabaster city, Alabama",33373,25.59314
0100988,"Albertville city, Alabama",21620,27.03853
0101132,"Alexander City city, Alabama",14515,43.99179
0101180,"Alexandria CDP, Alabama",4185,11.14603
0101228,"Aliceville city, Alabama",2199,4.5696
0101396,"Allgood town, Alabama",796,1.039287
0101660,"Altoona town, Alabama",1250,4.489923
0101708,"Andalusia city, Alabama",8719,19.8139
0101756,"Anderson town, Alabama",252,1.292954
0101852,"Anniston city, Alabama",21518,45.89445
0102116,"Arab city, Alabama",8405,13.45326
0102260,"Ardmore town, Alabama",1347,2.050869
0102320,"Argo town, Alabama",4294,10.70278
0102428,"Ariton town, Alabama",731,5.089787
0102500,"Arley town, Alabama",642,3.773815
0102836,"Ashford town, Alabama",2431,6.224287
0102860,"Ashland town, Alabama",1680,7.37858
0102908,"Ashville city, Alabama",2309,19.40165
0102956,"Athens city, Alabama",26686,40.60124
0103004,"Atmore city, Alabama",9269,21.93709
0103028,"Attalla city, Alabama",5885,6.998802
0103076,"Auburn city, Alabama",65508,61.6792
0103220,"Autaugaville town, Alabama",829,8.037518
0103364,"Avon town, Alabama",543,2.369791
0103508,"Axis CDP, Alabama",269,3.504491
0103556,"Babbie town, Alabama",514,11.58756
0103676,"Baileyton town, Alabama",1012,5.315323
0103724,"Bakerhill town, Alabama",239,2.751469
0103820,"Ballplay CDP, Alabama",1522,23.73846
0103940,"Banks town, Alabama",171,1.98671
0104660,"Bay Minette city, Alabama",9297,17.3383
0104684,"Bayou La Batre city, Alabama",2332,7.632419
0104852,"Bear Creek town, Alabama",1638,13.76107
0104900,"Beatrice town, Alabama",162,1.352727
0104948,"Beaverton town, Alabama",165,4.587968
0105140,"Belgreen CDP, Alabama",27,1.233957
0105164,"Belk town, Alabama",344,1.386203
0105188,"Bellamy CDP, Alabama",359,3.818079
0105212,"Belle Fontaine CDP, Alabama",498,1.915924
0105692,"Benton town, Alabama",23,0.3364637
0105812,"Berlin town, Alabama",618,1.195336
0105932,"Berry town, Alabama",1080,10.77216
0105980,"Bessemer city, Alabama",26063,40.5373
0106460,"Billingsley town, Alabama",148,1.176018
0107000,"Birmingham city, Alabama",210928,149.5504
0107120,"Black town, Alabama",468,4.060855
0107456,"Blountsville town, Alabama",2009,5.490043
0107588,"Blue Ridge CDP, Alabama",1353,7.84671
0107672,"Blue Springs town, Alabama",84,2.896107
