fips,name,population,area
0100001,"Fort Rucker School District, Alabama",5715,91.02352
0100003,"Maxwell AFB School District, Alabama",2128,3.501912
0100005,"Albertville City School District, Alabama",21620,27.03853
0100006,"Marshall County School District, Alabama",49073,528.5203
0100007,"Hoover City School District, Alabama",84272,48.90984
0100008,"Madison City School District, Alabama",50717,30.4928
0100011,"Leeds City School District, Alabama",12555,22.82091
0100012,"Boaz City School District, Alabama",9587,14.61216
0100013,"Trussville City School District, Alabama",22543,34.54558
0100030,"Alexander City City School District, Alabama",16883,112.1675
0100060,"Andalusia City School District, Alabama",8719,19.8139
0100090,"Anniston City School District, Alabama",21518,45.89445
0100100,"Arab City School District, Alabama",8405,13.45326
0100120,"Athens City School District, Alabama",26686,40.60124
0100180,"Attalla City School District, Alabama",5885,6.998802
0100185,"Saraland City School District, Alabama",14561,32.37191
0100188,"Chickasaw City School District, Alabama",5757,4.557333
0100189,"Satsuma City School District, Alabama",6163,7.398381
0100190,"Alabaster City School District, Alabama",33373,25.59314
0100194,"Pelham City School District, Alabama",23707,39.33071
0100195,"Pike Road City School District, Alabama",9745,33.57767
0100210,"Auburn City School District, Alabama",65508,61.6792
0100240,"Autauga County School District, Alabama",55639,604.3692
0100270,"Baldwin County School District, Alabama",218289,1266.585
0100300,"Barbour County School District, Alabama",13148,831.0399
0100330,"Bessemer City School District, Alabama",26063,40.5373
0100360,"Bibb County School District, Alabama",22374,626.1655
0100390,"Birmingham City School District, Alabama",210793,149.41
0100420,"Blount County School District, Alabama",51205,634.7454
0100450,"Brewton City School District, Alabama",5210,11.53285
0100480,"Bullock County School District, Alabama",10173,625.1435
0100510,"Butler County School District, Alabama",19726,777.8815
0100540,"Calhoun County School District, Alabama",55015,478.9605
0100600,"Chambers County School District, Alabama",27207,596.8715
0100630,"Cherokee County School District, Alabama",26035,599.9764
0100660,"Chilton County School District, Alabama",44147,700.7874
0100690,"Choctaw County School District, Alabama",12755,836.5282
0100720,"Clarke County School District, Alabama",18868,843.2363
0100750,"Clay County School District, Alabama",13285,606.0017
0100780,"Cleburne County School District, Alabama",14768,511.9428
0100810,"Coffee County School District, Alabama",19497,542.1584
0100840,"Colbert County School District, Alabama",23208,590.7598
0100870,"Conecuh County School District, Alabama",12219,831.6294
0100900,"Coosa County School District, Alabama",10696,666.3499
0100930,"Covington County School District, Alabama",21972,841.27
0100960,"Crenshaw County School District, Alabama",13826,610.9454
0100990,"Cullman City School District, Alabama",15236,19.94495
0101020,"Cullman County School District, Alabama",68043,734.9503
0101050,"Dale County School District, Alabama",14639,360.3472
0101080,"Daleville City School District, Alabama",11348,60.32022
0101110,"Dallas County School District, Alabama",20422,843.6607
0101140,"DeKalb County School District, Alabama",57367,721.9024
0101170,"Decatur City School District, Alabama",54344,60.85999
0101200,"Demopolis City School District, Alabama",6724,18.06617
0101230,"Dothan City School District, Alabama",68608,90.15309
0101260,"Elba City School District, Alabama",4933,84.48312
0101290,"Elmore County School District, Alabama",74048,560.7873
0101320,"Enterprise City School District, Alabama",28170,31.02521
0101350,"Escambia County School District, Alabama",31565,836.6433
0101380,"Etowah County School District, Alabama",60599,499.9535
0101410,"Eufaula City School District, Alabama",11878,73.47518
0101440,"Fairfield City School District, Alabama",10749,3.460336
0101470,"Fayette County School District, Alabama",15341,601.4849
0101530,"Florence City School District, Alabama",40652,26.72893
0101560,"Fort Payne City School District, Alabama",14063,56.76042
0101590,"Franklin County School District, Alabama",21784,633.0071
0101620,"Gadsden City School District, Alabama",35224,38.65943
0101640,"Geneva City School District, Alabama",6251,85.56904
0101660,"Geneva County School District, Alabama",20132,493.3819
0101680,"Greene County School District, Alabama",8221,659.9251
0101690,"Guntersville City School District, Alabama",8531,42.69729
0101710,"Hale County School District, Alabama",14754,656.5013
0101720,"Haleyville City School District, Alabama",7651,74.50561
0101730,"Hartselle City School District, Alabama",14223,14.91396
0101740,"Henry County School District, Alabama",17104,568.1289
0101760,"Homewood City School District, Alabama",25170,8.32608
0101770,"Houston County School District, Alabama",37792,499.4495
0101800,"Huntsville City School District, Alabama",199845,215.4066
0101830,"Jackson County School District, Alabama",37313,872.3029
0101860,"Jacksonville City School District, Alabama",12796,10.91743
0101890,"Jasper City School District, Alabama",13584,29.65874
0101920,"Jefferson County School District, Alabama",231287,806.6763
0101950,"Lamar County School District, Alabama",13854,605.4643
0101980,"Lanett City School District, Alabama",6220,6.242281
0102010,"Lauderdale County School District, Alabama",52218,692.8709
0102040,"Lawrence County School District, Alabama",32969,717.2028
0102070,"Lee County School District, Alabama",62594,490.075
0102100,"Limestone County School District, Alabama",61192,515.556
0102130,"Linden City School District, Alabama",3766,213.7176
0102160,"Lowndes County School District, Alabama",9936,725.0702
0102190,"Macon County School District, Alabama",18437,613.2079
0102220,"Madison County School District, Alabama",126167,612.588
0102250,"Marengo County School District, Alabama",8648,750.8875
0102310,"Marion County School District, Alabama",24209,703.8734
0102350,"Midfield City School District, Alabama",4984,2.657637
0102370,"Mobile County School District, Alabama",387496,1243.204
0102400,"Monroe County School District, Alabama",21006,837.8777
0102430,"Montgomery County School District, Alabama",214578,762.8325
0102480,"Morgan County School District, Alabama",50785,528.5345
0102490,"Mountain Brook City School District, Alabama",20178,12.83879
