fips,name,population,area
720030065910962,"California subbarrio, Aguada barrio-pueblo, Aguada Municipio, Puerto Rico",630,0.05273692
720030065972320,"Rosario subbarrio, Aguada barrio-pueblo, Aguada Municipio, Puerto Rico",473,0.05551454
720050078834633,"Higüey subbarrio, Aguadilla barrio-pueblo, Aguadilla Municipio, Puerto Rico",346,0.06554625
720050078835751,"Iglesia subbarrio, Aguadilla barrio-pueblo, Aguadilla Municipio, Puerto Rico",185,0.02303524
720050078856736,"Nuevo subbarrio, Aguadilla barrio-pueblo, Aguadilla Municipio, Puerto Rico",348,0.06218098
720050078877633,"Santa Bárbara subbarrio, Aguadilla barrio-pueblo, Aguadilla Municipio, Puerto Rico",333,0.04636701
720050078881675,"Tamarindo subbarrio, Aguadilla barrio-pueblo, Aguadilla Municipio, Puerto Rico",798,0.09990703
720090126164768,"Pueblo Norte subbarrio, Aibonito barrio-pueblo, Aibonito Municipio, Puerto Rico",691,0.284272
720090126165025,"Pueblo Sur subbarrio, Aibonito barrio-pueblo, Aibonito Municipio, Puerto Rico",2776,0.5198387
720110263721880,"Cuartel Cuarto subbarrio, Añasco barrio-pueblo, Añasco Municipio, Puerto Rico",348,0.03529283
720110263721884,"Cuartel Primero subbarrio, Añasco barrio-pueblo, Añasco Municipio, Puerto Rico",174,0.02066496
720110263721888,"Cuartel Segundo subbarrio, Añasco barrio-pueblo, Añasco Municipio, Puerto Rico",0,0.008793477
720110263721892,"Cuartel Tercero subbarrio, Añasco barrio-pueblo, Añasco Municipio, Puerto Rico",76,0.0198804
720130341109512,"Buenos Aires subbarrio, Arecibo barrio-pueblo, Arecibo Municipio, Puerto Rico",410,0.159161
720130341138145,"Jareales subbarrio, Arecibo barrio-pueblo, Arecibo Municipio, Puerto Rico",0,0.2746349
720130341140248,"La Cruz subbarrio, Arecibo barrio-pueblo, Arecibo Municipio, Puerto Rico",35,0.1165403
720130341153575,"Miramar subbarrio, Arecibo barrio-pueblo, Arecibo Municipio, Puerto Rico",1286,0.6677459
720130341153940,"Monserrate subbarrio, Arecibo barrio-pueblo, Arecibo Municipio, Puerto Rico",48,0.1251836
720130341172325,"Rosario subbarrio, Arecibo barrio-pueblo, Arecibo Municipio, Puerto Rico",25,0.02697348
720130341175888,"San Felipe subbarrio, Arecibo barrio-pueblo, Arecibo Municipio, Puerto Rico",264,0.07740731
720130341177117,"San Luis subbarrio, Arecibo barrio-pueblo, Arecibo Municipio, Puerto Rico",4547,0.7472861
720130341186070,"Vigía subbarrio, Arecibo barrio-pueblo, Arecibo Municipio, Puerto Rico",69,0.4235749
720150397021952,"Cuatro Calles subbarrio, Arroyo barrio-pueblo, Arroyo Municipio, Puerto Rico",422,0.07308798
