fips,name,population,area
00037,"Abbeville, LA Urban Cluster (2010)",19602,
00064,"Abbeville, SC Urban Cluster (2010)",4747,
00091,"Abbotsford, WI Urban Cluster (2010)",4388,
00118,"Aberdeen, MS Urban Cluster (2010)",3743,
00145,"Aberdeen, SD Urban Cluster (2010)",26965,
00172,"Aberdeen, WA Urban Cluster (2010)",30270,
00199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area (2010)",218435,
00226,"Abernathy, TX Urban Cluster (2010)",3182,
00253,"Abilene, KS Urban Cluster (2010)",6288,
00280,"Abilene, TX Urbanized Area (2010)",114198,
00334,"Abingdon, IL Urban Cluster (2010)",3596,
00388,"Ada, OH Urban Cluster (2010)",5198,
00415,"Ada, OK Urban Cluster (2010)",18150,
00450,"Adams, NY Urban Cluster (2010)",2442,
00469,"Adel, GA Urban Cluster (2010)",7176,
00496,"Adel, IA Urban Cluster (2010)",3818,
00550,"Adjuntas, PR Urban Cluster (2010)",9988,
00577,"Adrian, MI Urban Cluster (2010)",44634,
00631,"Aguadilla--Isabela--San Sebastián, PR Urbanized Area (2010)",267316,
00658,"Ahoskie, NC Urban Cluster (2010)",4775,
00676,"Air Force Academy, CO Urban Cluster (2010)",2837,
00712,"Ajo, AZ Urban Cluster (2010)",2349,
00739,"Akron, NY Urban Cluster (2010)",2880,
00766,"Akron, OH Urbanized Area (2010)",566653,
00793,"Alachua, FL Urban Cluster (2010)",4852,
00820,"Alamogordo, NM Urban Cluster (2010)",33257,
00847,"Alamosa, CO Urban Cluster (2010)",9957,
00901,"Albany, GA Urbanized Area (2010)",90855,
00921,"Albany, MN Urban Cluster (2010)",2727,
00955,"Albany, OR Urbanized Area (2010)",62134,
00970,"Albany--Schenectady, NY Urbanized Area (2010)",596121,
00982,"Albemarle, NC Urban Cluster (2010)",16859,
01009,"Albert Lea, MN Urban Cluster (2010)",17312,
01036,"Albertville, AL Urban Cluster (2010)",37197,
01063,"Albia, IA Urban Cluster (2010)",3621,
01090,"Albion, MI Urban Cluster (2010)",8913,
01117,"Albion, NY Urban Cluster (2010)",8057,
01144,"Albion, PA Urban Cluster (2010)",4750,
01171,"Albuquerque, NM Urbanized Area (2010)",762169,
01198,"Alderson, WV Urban Cluster (2010)",1985,
01225,"Aledo, IL Urban Cluster (2010)",3551,
01232,"Aledo, TX Urban Cluster (2010)",6092,
01252,"Alexander City, AL Urban Cluster (2010)",7841,
01279,"Alexandria, LA Urbanized Area (2010)",80106,
01306,"Alexandria, MN Urban Cluster (2010)",17856,
01333,"Alfred, NY Urban Cluster (2010)",4258,
01360,"Algoma, WI Urban Cluster (2010)",2929,
01387,"Algona, IA Urban Cluster (2010)",5099,
01414,"Alice, TX Urban Cluster (2010)",19725,
01441,"Allegan, MI Urban Cluster (2010)",5720,
01468,"Allendale, SC Urban Cluster (2010)",2693,
01495,"Allentown, PA--NJ Urbanized Area (2010)",683549,
01522,"Alliance, NE Urban Cluster (2010)",8139,
01549,"Alliance, OH Urban Cluster (2010)",31441,
01603,"Alma, GA Urban Cluster (2010)",3519,
01630,"Alma--St. Louis, MI Urban Cluster (2010)",16661,
01657,"Almont, MI Urban Cluster (2010)",2855,
01684,"Alpena, MI Urban Cluster (2010)",13390,
01711,"Alpine, TX Urban Cluster (2010)",6745,
01738,"Altavista, VA Urban Cluster (2010)",4905,
01765,"Alton, IL--MO Urbanized Area (2010)",81384,
01792,"Altoona, PA Urbanized Area (2010)",75555,
01819,"Alturas, CA Urban Cluster (2010)",2614,
01846,"Altus, OK Urban Cluster (2010)",18469,
01873,"Alva, OK Urban Cluster (2010)",5486,
01900,"Alvarado, TX Urban Cluster (2010)",4342,
01927,"Amarillo, TX Urbanized Area (2010)",202031,
01981,"American Falls, ID Urban Cluster (2010)",4295,
02008,"Americus, GA Urban Cluster (2010)",17562,
02035,"Amery, WI Urban Cluster (2010)",2793,
02062,"Ames, IA Urbanized Area (2010)",66935,
02116,"Amite City, LA Urban Cluster (2010)",6027,
02143,"Amory, MS Urban Cluster (2010)",6057,
02170,"Amsterdam, NY Urban Cluster (2010)",21583,
02197,"Anaconda-Deer Lodge County, MT Urban Cluster (2010)",6100,
02224,"Anacortes, WA Urban Cluster (2010)",17863,
02251,"Anadarko, OK Urban Cluster (2010)",5796,
02278,"Anamosa, IA Urban Cluster (2010)",5386,
02305,"Anchorage, AK Urbanized Area (2010)",250398,
02332,"Anchorage Northeast, AK Urban Cluster (2010)",29282,
02359,"Andalusia, AL Urban Cluster (2010)",6227,
02386,"Anderson, IN Urbanized Area (2010)",85924,
02413,"Anderson, SC Urbanized Area (2010)",80949,
02440,"Andrews, SC Urban Cluster (2010)",4248,
02467,"Andrews, TX Urban Cluster (2010)",15659,
02494,"Angels, CA Urban Cluster (2010)",3664,
02548,"Angola, IN Urban Cluster (2010)",11507,
02575,"Anna, IL Urban Cluster (2010)",5607,
02581,"Anna, TX Urban Cluster (2010)",15653,
02590,"Annandale, MN Urban Cluster (2010)",3411,
02602,"Ann Arbor, MI Urbanized Area (2010)",322499,
02629,"Anniston--Oxford, AL Urbanized Area (2010)",75445,
02656,"Antigo, WI Urban Cluster (2010)",8007,
02683,"Antioch, CA Urbanized Area (2010)",312257,
02710,"Apalachicola, FL Urban Cluster (2010)",4050,
02764,"Appleton, WI Urbanized Area (2010)",225502,
02773,"Apple Valley, OH Urban Cluster (2010)",5269,
02791,"Arab, AL Urban Cluster (2010)",7939,
02825,"Arbuckle, CA Urban Cluster (2010)",2777,
02845,"Arcade, NY Urban Cluster (2010)",3373,
02899,"Arcadia, LA Urban Cluster (2010)",2474,
02901,"Arcadia, WI Urban Cluster (2010)",3079,
02912,"Arcadia--Southeast Arcadia, FL Urban Cluster (2010)",19377,
02926,"Arcata--McKinleyville, CA Urban Cluster (2010)",34477,
02953,"Archbold, OH Urban Cluster (2010)",4862,
02965,"Archer Lodge--Clayton, NC Urban Cluster (2010)",20049,
02980,"Arcola, IL Urban Cluster (2010)",2624,
03007,"Ardmore, OK Urban Cluster (2010)",21188,
03034,"Arecibo, PR Urbanized Area (2010)",124997,
03088,"Arizona City, AZ Urban Cluster (2010)",10526,
03115,"Arkadelphia, AR Urban Cluster (2010)",10488,
03142,"Arkansas City, KS Urban Cluster (2010)",12207,
03158,"Arlington, TN Urban Cluster (2010)",10574,
03196,"Arroyo Grande--Grover Beach, CA Urbanized Area (2010)",53951,
03223,"Artesia, NM Urban Cluster (2010)",13690,
03250,"Arvin, CA Urban Cluster (2010)",20798,
03277,"Ashburn, GA Urban Cluster (2010)",4244,
03304,"Ashdown, AR Urban Cluster (2010)",3840,
03331,"Asheboro, NC Urban Cluster (2010)",38709,
03358,"Asheville, NC Urbanized Area (2010)",308351,
03365,"Ashland, MO Urban Cluster (2010)",3785,
03375,"Ashland, NE Urban Cluster (2010)",2742,
03385,"Ashland, OH Urban Cluster (2010)",19958,
03395,"Ashland, PA Urban Cluster (2010)",6967,
